p_brand;p_nr;p_cluster{0};p_name;p_name_keyword;p_name_proper;p_text;p_comp[composition];p_comp[care];p_tag[gender];p_tag[ageGroup];p_tag[season];p_tag[sizeGrid];a_nr;a_ean;a_prodnr;a_comp[size];a_comp[brandcolour];a_tag[colour];a_media[image]{0};a_media[image]{1};a_media[image]{2};a_media[image]{3};a_media[image]{4};a_media[image]{5};a_media[image]{6};a_media[image]{7};a_active;a_active[zafd];a_vk[zafd];a_vk_old[zafd];a_active[zafb];a_vk[zafb];a_vk_old[zafb];a_active[zafh];a_vk[zafh];a_vk_old[zafh];a_active[zaff];a_vk[zaff];a_vk_old[zaff];a_active[zafn];a_vk[zafn];a_vk_old[zafn];a_active[zazfspl];a_vk[zazfspl];a_vk_old[zazfspl];a_active[zafa];a_vk[zafa];a_vk_old[zafa];a_active[zazi];a_vk[zazi];a_vk_old[zazi];a_active[zazfsdk];a_vk[zazfsdk];a_vk_old[zazfsdk];a_active[zazfsfi];a_vk[zazfsfi];a_vk_old[zazfsfi];a_active[zafe];a_vk[zafe];a_vk_old[zafe];a_active[zazfscz];a_vk[zazfscz];a_vk_old[zazfscz];a_active[zazfsee];a_vk[zazfsee];a_vk_old[zazfsee];a_active[zazfshr];a_vk[zazfshr];a_vk_old[zazfshr];a_active[zazfslt];a_vk[zazfslt];a_vk_old[zazfslt];a_active[zazfslv];a_vk[zazfslv];a_vk_old[zazfslv];a_active[zazfsse];a_vk[zazfsse];a_vk_old[zazfsse];a_active[zazfssi];a_vk[zazfssi];a_vk_old[zazfssi];a_active[zazfssk];a_vk[zazfssk];a_vk_old[zazfssk];a_active[zazfshu];a_vk[zazfshu];a_vk_old[zazfshu];a_active[zazfsro];a_vk[zazfsro];a_vk_old[zazfsro];a_active[zazfscd];a_vk[zazfscd];a_vk_old[zazfscd];a_active[zazfscf];a_vk[zazfscf];a_vk_old[zazfscf];a_active[zalandomain];a_vk[zalandomain];a_vk_old[zalandomain];a_stock;a_org_country;a_intrastat;p_bullet{0};p_bullet{1};p_bullet{2};p_bullet{3};p_bullet{4};p_bullet{5};p_bullet{6};p_bullet{7};p_bullet{8};p_bullet{9};p_bullet{10};p_bullet{11};p_bullet{12};p_bullet{13};p_bullet{14};p_comp[Faux_fur_collar_material];p_comp[filling];p_comp[inner_jacket_lining];p_comp[inner_jacket_padding];p_comp[insertMaterial];p_comp[lining];p_comp[upper_material_sleeves];a_weight;p_comp[Representative_EU];p_comp[Representative_brand];p_comp[Representative_email];p_comp[Representative_street];p_comp[Representative_street_number];p_comp[Representative_city];p_comp[Representative_postal_code];p_comp[Representative_country];p_comp[responsible_producer]
KOROSHI;2613HA02;Unisex accessories;Man cap;Man cap;Man cap;Visor cap. Composition 100% cotton;100% Cotton;Hand wash. Do not tumble dry. Do not bleach. Do not iron. ;Unisex;ADULT;All-season Basic Article;Unisex accessories [UNI         ];2613HA02-000003-UNI;8445962809872;2613HA02-000003;UNI;BLACK;BLACK;sync/media/2613HA02_000003_1.jpg;sync/media/2613HA02_000003_2.jpg;sync/media/2613HA02_000003_3.jpg;sync/media/2613HA02_000003_4.jpg;sync/media/2613HA02_000003_5.jpg;sync/media/2613HA02_000003_6.jpg;sync/media/2613HA02_000003_7.jpg;sync/media/2613HA02_000003_8.jpg;1;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;149.0;149.0;1;29.99;29.99;1;29.99;29.99;1;239.0;239.0;1;29.99;29.99;1;25.99;25.99;1;769.0;769.0;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;359.0;359.0;1;29.99;29.99;1;29.99;29.99;1;12360.0;12360.0;1;159.0;159.0;1;29.9;29.9;1;29.9;29.9;1;29.99;29.99;2;CN;61178080;;;;;;;;;;;;;;;;;;;;100% Cotton;;100% Cotton;0.1;JUANA ALCALA S.A. CIF.: A62552807. Pol. Ind. Can Salvatella 08210 Barbera del Valles (Barcelona), Spain.;JUANA ALCALA S.A.;soporte@koroshi.tv;Calle Mogoda;06-10;Barbera del Valles;08210;Spain;KOROSHI
KOROSHI;2613HA03;Unisex accessories;Man cap;Man cap;Man cap;Visor cap. Composition 100% cotton;100% Cotton;Machine wash at 30ºC. Do not tumble dry.Do not bleach.Iron at max 110º temperature;Unisex;ADULT;All-season Basic Article;Unisex accessories [UNI         ];2613HA03-000003-UNI;8445962809896;2613HA03-000003;UNI;BLACK;BLACK;sync/media/2613HA03_000003_1.jpg;sync/media/2613HA03_000003_2.jpg;sync/media/2613HA03_000003_3.jpg;sync/media/2613HA03_000003_4.jpg;sync/media/2613HA03_000003_5.jpg;sync/media/2613HA03_000003_6.jpg;sync/media/2613HA03_000003_7.jpg;sync/media/2613HA03_000003_8.jpg;1;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;149.0;149.0;1;29.99;29.99;1;29.99;29.99;1;239.0;239.0;1;29.99;29.99;1;25.99;25.99;1;769.0;769.0;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;359.0;359.0;1;29.99;29.99;1;29.99;29.99;1;12360.0;12360.0;1;159.0;159.0;1;29.9;29.9;1;29.9;29.9;1;29.99;29.99;2;CN;61178080;;;;;;;;;;;;;;;;;;;;100% Cotton;;100% Cotton;0.1;JUANA ALCALA S.A. CIF.: A62552807. Pol. Ind. Can Salvatella 08210 Barbera del Valles (Barcelona), Spain.;JUANA ALCALA S.A.;soporte@koroshi.tv;Calle Mogoda;06-10;Barbera del Valles;08210;Spain;KOROSHI
KOROSHI;2613HA04;Unisex accessories;Man cap;Man cap;Man cap;Visor cap. Composition 100% cotton;100% Cotton;Hand wash. Do not tumble dry. Do not bleach. Do not iron. ;Unisex;ADULT;All-season Basic Article;Unisex accessories [UNI         ];2613HA04-000003-UNI;8445962815682;2613HA04-000003;UNI;BLACK;BLACK;sync/media/2613HA04_000003_1.jpg;sync/media/2613HA04_000003_2.jpg;sync/media/2613HA04_000003_3.jpg;sync/media/2613HA04_000003_4.jpg;sync/media/2613HA04_000003_5.jpg;sync/media/2613HA04_000003_6.jpg;sync/media/2613HA04_000003_7.jpg;sync/media/2613HA04_000003_8.jpg;1;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;149.0;149.0;1;29.99;29.99;1;29.99;29.99;1;239.0;239.0;1;29.99;29.99;1;25.99;25.99;1;769.0;769.0;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;359.0;359.0;1;29.99;29.99;1;29.99;29.99;1;12360.0;12360.0;1;159.0;159.0;1;29.9;29.9;1;29.9;29.9;1;29.99;29.99;2;ES;61178080;;;;;;;;;;;;;;;;;;;;100% Cotton;;100% Cotton;0.1;JUANA ALCALA S.A. CIF.: A62552807. Pol. Ind. Can Salvatella 08210 Barbera del Valles (Barcelona), Spain.;JUANA ALCALA S.A.;soporte@koroshi.tv;Calle Mogoda;06-10;Barbera del Valles;08210;Spain;KOROSHI
KOROSHI;2613HA05;Unisex accessories;Man cap;Man cap;Man cap;Visor cap. Composition 100% cotton;100% Cotton;Machine wash at 30ºC. Do not tumble dry. Do not bleach. Do not iron. ;Unisex;ADULT;All-season Basic Article;Unisex accessories [UNI         ];2613HA05-000030-UNI;8445962809919;2613HA05-000030;UNI;CRUDO / OFF-WHITE;CRUDO / OFF-WHITE;sync/media/2613HA05_000030_1.jpg;sync/media/2613HA05_000030_2.jpg;sync/media/2613HA05_000030_3.jpg;sync/media/2613HA05_000030_4.jpg;sync/media/2613HA05_000030_5.jpg;sync/media/2613HA05_000030_6.jpg;sync/media/2613HA05_000030_7.jpg;sync/media/2613HA05_000030_8.jpg;1;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;149.0;149.0;1;29.99;29.99;1;29.99;29.99;1;239.0;239.0;1;29.99;29.99;1;25.99;25.99;1;769.0;769.0;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;359.0;359.0;1;29.99;29.99;1;29.99;29.99;1;12360.0;12360.0;1;159.0;159.0;1;29.9;29.9;1;29.9;29.9;1;29.99;29.99;2;CN;61178080;;;;;;;;;;;;;;;;;;;;100% Cotton;;100% Cotton;0.1;JUANA ALCALA S.A. CIF.: A62552807. Pol. Ind. Can Salvatella 08210 Barbera del Valles (Barcelona), Spain.;JUANA ALCALA S.A.;soporte@koroshi.tv;Calle Mogoda;06-10;Barbera del Valles;08210;Spain;KOROSHI
KOROSHI;2613HA06;Unisex accessories;Man cap;Man cap;Man cap;Visor cap. Composition 100% polyester;100% Polyester;Machine wash at 30ºC. Do not tumble dry. Do not bleach. Do not iron. ;Unisex;ADULT;All-season Basic Article;Unisex accessories [UNI         ];2613HA06-000010-UNI;8445962809933;2613HA06-000010;UNI;VERDE / GREEN;VERDE / GREEN;sync/media/2613HA06_000010_1.jpg;sync/media/2613HA06_000010_2.jpg;sync/media/2613HA06_000010_3.jpg;sync/media/2613HA06_000010_4.jpg;sync/media/2613HA06_000010_5.jpg;sync/media/2613HA06_000010_6.jpg;sync/media/2613HA06_000010_7.jpg;sync/media/2613HA06_000010_8.jpg;1;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;149.0;149.0;1;29.99;29.99;1;29.99;29.99;1;239.0;239.0;1;29.99;29.99;1;25.99;25.99;1;769.0;769.0;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;359.0;359.0;1;29.99;29.99;1;29.99;29.99;1;12360.0;12360.0;1;159.0;159.0;1;29.9;29.9;1;29.9;29.9;1;29.99;29.99;2;CN;61178080;;;;;;;;;;;;;;;;;;;;100% Polyester;;100% Polyester;0.1;JUANA ALCALA S.A. CIF.: A62552807. Pol. Ind. Can Salvatella 08210 Barbera del Valles (Barcelona), Spain.;JUANA ALCALA S.A.;soporte@koroshi.tv;Calle Mogoda;06-10;Barbera del Valles;08210;Spain;KOROSHI
KOROSHI;2613HA07;Unisex accessories;Man cap;Man cap;Man cap;Visor cap. Composition 100% cotton;100% Cotton;Machine wash at 30ºC. Do not tumble dry. Do not bleach. Do not iron. ;Unisex;ADULT;All-season Basic Article;Unisex accessories [UNI         ];2613HA07-000039-UNI;8445962815712;2613HA07-000039;UNI;NAVY;NAVY;sync/media/2613HA07_000039_1.jpg;sync/media/2613HA07_000039_2.jpg;sync/media/2613HA07_000039_3.jpg;sync/media/2613HA07_000039_4.jpg;sync/media/2613HA07_000039_5.jpg;sync/media/2613HA07_000039_6.jpg;sync/media/2613HA07_000039_7.jpg;sync/media/2613HA07_000039_8.jpg;1;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;149.0;149.0;1;29.99;29.99;1;29.99;29.99;1;239.0;239.0;1;29.99;29.99;1;25.99;25.99;1;769.0;769.0;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;29.99;29.99;1;359.0;359.0;1;29.99;29.99;1;29.99;29.99;1;12360.0;12360.0;1;159.0;159.0;1;29.9;29.9;1;29.9;29.9;1;29.99;29.99;2;CN;61178080;;;;;;;;;;;;;;;;;;;;100% Cotton;;100% Cotton;0.1;JUANA ALCALA S.A. CIF.: A62552807. Pol. Ind. Can Salvatella 08210 Barbera del Valles (Barcelona), Spain.;JUANA ALCALA S.A.;soporte@koroshi.tv;Calle Mogoda;06-10;Barbera del Valles;08210;Spain;KOROSHI
KOROSHI;2614CC01;Short sleeve boy shirt;Short-sleeved printed boys' shirt;Short-sleeved printed boys' shirt;Short-sleeved printed boys' shirt;Multicolor printed viscose boy's shirt with a shirt collar, short sleeves, and a front button closure. Logo label on the side. Composition 100% viscose.;100% Viscose;Machine wash at 30ºC. Do not tumble dry.Do not bleach.Iron at max 110º temperature;Niño;KID;All-season Basic Article;Short sleeve boy shirt [6-7 8-9 10-11 12-13];2614CC01-000323-6;8445962821607;2614CC01-000323;6;MULTICOLOR / MULTI-COLOURED;MULTICOLOR / MULTI-COLOURED;sync/media/2614CC01_000323_1.jpg;sync/media/2614CC01_000323_2.jpg;sync/media/2614CC01_000323_3.jpg;sync/media/2614CC01_000323_4.jpg;sync/media/2614CC01_000323_5.jpg;sync/media/2614CC01_000323_6.jpg;sync/media/2614CC01_000323_7.jpg;sync/media/2614CC01_000323_8.jpg;1;1;39.99;39.99;1;39.99;39.99;1;39.99;39.99;1;39.99;39.99;1;39.99;39.99;1;199.0;199.0;1;39.99;39.99;1;39.99;39.99;1;319.0;319.0;1;39.99;39.99;1;22.99;22.99;1;1019.0;1019.0;1;39.99;39.99;1;39.99;39.99;1;39.99;39.99;1;39.99;39.99;1;479.0;479.0;1;39.99;39.99;1;39.99;39.99;1;16480.0;16480.0;1;209.0;209.0;1;39.9;39.9;1;39.9;39.9;1;39.99;39.99;2;CN;62053000;;;;;;;;;;;;;;;;;;;;100% Viscose;;100% Viscose;0.255;JUANA ALCALA S.A. CIF.: A62552807. Pol. Ind. Can Salvatella 08210 Barbera del Valles (Barcelona), Spain.;JUANA ALCALA S.A.;soporte@koroshi.tv;Calle Mogoda;06-10;Barbera del Valles;08210;Spain;KOROSHI
KOROSHI;2614CC01;Short sleeve boy shirt;Short-sleeved printed boys' shirt;Short-sleeved printed boys' shirt;Short-sleeved printed boys' shirt;Multicolor printed viscose boy's shirt with a shirt collar, short sleeves, and a front button closure. Logo label on the side. Composition 100% viscose.;100% Viscose;Machine wash at 30ºC. Do not tumble dry.Do not bleach.Iron at max 110º temperature;Niño;KID;All-season Basic Article;Short sleeve boy shirt [6-7 8-9 10-11 12-13];2614CC01-000323-8;8445962821614;2614CC01-000323;8;MULTICOLOR / MULTI-COLOURED;MULTICOLOR / MULTI-COLOURED;sync/media/2614CC01_000323_1.jpg;sync/media/2614CC01_000323_2.jpg;sync/media/2614CC01_000323_3.jpg;sync/media/2614CC01_000323_4.jpg;sync/media/2614CC01_000323_5.jpg;sync/media/2614CC01_000323_6.jpg;sync/media/2614CC01_000323_7.jpg;sync/media/2614CC01_000323_8.jpg;1;1;39.99;39.99;1;39.99;39.99;1;39.99;39.99;1;39.99;39.99;1;39.99;39.99;1;199.0;199.0;1;39.99;39.99;1;39.99;39.99;1;319.0;319.0;1;39.99;39.99;1;22.99;22.99;1;1019.0;1019.0;1;39.99;39.99;1;39.99;39.99;1;39.99;39.99;1;39.99;39.99;1;479.0;479.0;1;39.99;39.99;1;39.99;39.99;1;16480.0;16480.0;1;209.0;209.0;1;39.9;39.9;1;39.9;39.9;1;39.99;39.99;2;CN;62053000;;;;;;;;;;;;;;;;;;;;100% Viscose;;100% Viscose;0.255;JUANA ALCALA S.A. CIF.: A62552807. Pol. Ind. Can Salvatella 08210 Barbera del Valles (Barcelona), Spain.;JUANA ALCALA S.A.;soporte@koroshi.tv;Calle Mogoda;06-10;Barbera del Valles;08210;Spain;KOROSHI
KOROSHI;2614CC01;Short sleeve boy shirt;Short-sleeved printed boys' shirt;Short-sleeved printed boys' shirt;Short-sleeved printed boys' shirt;Multicolor printed viscose boy's shirt with a shirt collar, short sleeves, and a front button closure. Logo label on the side. Composition 100% viscose.;100% Viscose;Machine wash at 30ºC. Do not tumble dry.Do not bleach.Iron at max 110º temperature;Niño;KID;All-season Basic Article;Short sleeve boy shirt [6-7 8-9 10-11 12-13];2614CC01-000323-10;8445962821621;2614CC01-000323;10;MULTICOLOR / MULTI-COLOURED;MULTICOLOR / MULTI-COLOURED;sync/media/2614CC01_000323_1.jpg;sync/media/2614CC01_000323_2.jpg;sync/media/2614CC01_000323_3.jpg;sync/media/2614CC01_000323_4.jpg;sync/media/2614CC01_000323_5.jpg;sync/media/2614CC01_000323_6.jpg;sync/media/2614CC01_000323_7.jpg;sync/media/2614CC01_000323_8.jpg;1;1;39.99;39.99;1;39.99;39.99;1;39.99;39.99;1;39.99;39.99;1;39.99;39.99;1;199.0;199.0;1;39.99;39.99;1;39.99;39.99;1;319.0;319.0;1;39.99;39.99;1;22.99;22.99;1;1019.0;1019.0;1;39.99;39.99;1;39.99;39.99;1;39.99;39.99;1;39.99;39.99;1;479.0;479.0;1;39.99;39.99;1;39.99;39.99;1;16480.0;16480.0;1;209.0;209.0;1;39.9;39.9;1;39.9;39.9;1;39.99;39.99;2;CN;62053000;;;;;;;;;;;;;;;;;;;;100% Viscose;;100% Viscose;0.255;JUANA ALCALA S.A. CIF.: A62552807. Pol. Ind. Can Salvatella 08210 Barbera del Valles (Barcelona), Spain.;JUANA ALCALA S.A.;soporte@koroshi.tv;Calle Mogoda;06-10;Barbera del Valles;08210;Spain;KOROSHI
KOROSHI;2614CC01;Short sleeve boy shirt;Short-sleeved printed boys' shirt;Short-sleeved printed boys' shirt;Short-sleeved printed boys' shirt;Multicolor printed viscose boy's shirt with a shirt collar, short sleeves, and a front button closure. Logo label on the side. Composition 100% viscose.;100% Viscose;Machine wash at 30ºC. Do not tumble dry.Do not bleach.Iron at max 110º temperature;Niño;KID;All-season Basic Article;Short sleeve boy shirt [6-7 8-9 10-11 12-13];2614CC01-000323-12;8445962821638;2614CC01-000323;12;MULTICOLOR / MULTI-COLOURED;MULTICOLOR / MULTI-COLOURED;sync/media/2614CC01_000323_1.jpg;sync/media/2614CC01_000323_2.jpg;sync/media/2614CC01_000323_3.jpg;sync/media/2614CC01_000323_4.jpg;sync/media/2614CC01_000323_5.jpg;sync/media/2614CC01_000323_6.jpg;sync/media/2614CC01_000323_7.jpg;sync/media/2614CC01_000323_8.jpg;1;1;39.99;39.99;1;39.99;39.99;1;39.99;39.99;1;39.99;39.99;1;39.99;39.99;1;199.0;199.0;1;39.99;39.99;1;39.99;39.99;1;319.0;319.0;1;39.99;39.99;1;22.99;22.99;1;1019.0;1019.0;1;39.99;39.99;1;39.99;39.99;1;39.99;39.99;1;39.99;39.99;1;479.0;479.0;1;39.99;39.99;1;39.99;39.99;1;16480.0;16480.0;1;209.0;209.0;1;39.9;39.9;1;39.9;39.9;1;39.99;39.99;2;CN;62053000;;;;;;;;;;;;;;;;;;;;100% Viscose;;100% Viscose;0.255;JUANA ALCALA S.A. CIF.: A62552807. Pol. Ind. Can Salvatella 08210 Barbera del Valles (Barcelona), Spain.;JUANA ALCALA S.A.;soporte@koroshi.tv;Calle Mogoda;06-10;Barbera del Valles;08210;Spain;KOROSHI
